claim_id,statement,phase,status,proof_type,dependencies,computational_support,literature_status,paper_candidate
C24,Distinguished Singleton Theorem: |U|>=5 avoids any fixed e,4.5-4.6,PROVED_AFTER_REPAIR,maximum-det graph + paired-star parity collapse,C19,"1,020,096 distinguished finite cases reported in Phase5",no direct source found,yes
C25,"For |U|>=5, (tau,eta)=(2,1)",4.6,PROVED_AFTER_REPAIR,C24 with horizontal distinguished + C20,"C20,C24",finite corroboration,no direct source found,yes
C26,eta(U_{1})=2/3,VI,PROVED_AFTER_REPAIR,four-link unique-core reduction + connectivity-aware strip transfer,"C05,C36",DP family + four-link scan regression,no direct source found,yes
C27,Every determinant-balanced triple has eta=2/3,4.4/VI,PROVED_AFTER_REPAIR,balanced reduction + terminal exact theorem for lower gadgets + connectivity transfer for arbitrary ends,"C18,C22,C26,C36",representative controls,no direct source found,yes
C28,"Global intensity classification eta(U) in {1,2/3}",VI,PROVED_AFTER_REPAIR,cardinality/determinant case classification,"C17,C20-C27,C36,C37",,requires dedicated novelty audit,yes
C29,"Global finite pair classification {(4,1),(3,1),(3,2/3),(2,1),(2,2/3)}",VI,PROVED_AFTER_REPAIR,global tau + global eta classification,"C04,C28,C36,C37",,requires dedicated novelty audit,yes
C30,Old top-gap construction with unvisited cap,2 pre-RAG,SUPERSEDED,invalid exact trace,,counterexample found by audit,,no
C31,Old numerical clipping bounds K_H<=12 or <=16,2.2/2.3 pre-repair,SUPERSEDED,partially visible connector omitted,,,replaced by O_U(1),no
C32,Old claim: singleton determinant class (without host qualification) directly implies eta=1,3.4,SUPERSEDED,host orientation omitted,,,replaced by C20+C21+C23+C24,no
C33,Old conflict-triangle / unrestricted-strip formulation of exact 2/3 theorem,4.4 pre-RAG,SUPERSEDED,local exclusion incomplete,,DP agreed with theorem,replaced by terminal-constrained four-state automaton theorem,no
C34,Phase-4 premature freeze of eta(U_1)=2/3 before four-link upper bound,4.4 pre-Phase5,SUPERSEDED,three-link reduction did not cover budget-3 four-link witnesses,,,repaired by C26,no
C35,Finite singleton search at ||u||_infty<=5 found no size-4/5 counterexample,3.4/4.1,COMPUTATION_ONLY,exhaustive finite enumeration,,"91,390 four-sets; 658,008 five-sets",finite evidence only,no
C36,Connectivity-aware triangular-strip transfer: every feasible boundary pairing has turn cost <=2|V|/3+O(1),v2.1 extreme-RAG repair,PROVED_AFTER_REPAIR,12-state 17-transition frontier connectivity automaton + finite max-plus certificate,strip local geometry,"exact certificate supp(A^6) subset supp(A^3), A^6>=A^3+2; all-length consequence",requires dedicated novelty audit,yes
C37,"Explicit exceptional boundary-entry bridge lemma for U_1 and U_{1,2}",v2.1 extreme-RAG repair,PROVED_AFTER_REPAIR,determinant connector bound + exhaustive finite first-host residue table,C01,"22 exact certificate rows, all pass",local proof lemma,yes
C38,v2 parity-only bounded-port replacement claim without connectivity state,VI/v2,SUPERSEDED,cut parity did not encode component pairing,,extreme RAG found feasible terminal types requiring connectivity tracking,replaced by C36,no
